car_code,sub_code,make,model,spec,current_price,depreciation,down_payment,installment,coe,road_tax,omv,arf,fuel_economy,fuel_type,coe_incl
12711,7819,Bentley,Bentley Flying Spur,6.0 W12 (A),POA,-,-,-,105459,6998,245383,479843,3.8010,Petrol,True
12714,8166,Porsche,Porsche Taycan Electric,Performance Battery 79 kWh (A),354158,-,-,-,105459,3242,99010,122822,-,Electric,False
12714,7631,Porsche,Porsche Taycan Electric,4S Performance Battery 79.2 kWh (A),488658,-,-,-,105459,5588,144538,222984,-,Electric,False
12714,7632,Porsche,Porsche Taycan Electric,Turbo 93.4 kWh (A),642158,-,-,-,105459,7308,-,-,-,Electric,False
12714,7633,Porsche,Porsche Taycan Electric,Turbo S 93.4 kWh (A),801858,-,-,-,105459,8246,-,-,-,Electric,False
12715,8544,BMW,BMW 5 Series Sedan Mild Hybrid,520i Executive (A),338888,30700,135555,2926,105459,1210,50695,63251,7.9010,Petrol-Electric,True
12715,7972,BMW,BMW 5 Series Sedan Mild Hybrid,520i M Sport (A),349888,31300,139955,3021,105459,1210,56850,74330,7.9010,Petrol-Electric,True
12719,7611,BMW,BMW 6 Series Gran Turismo Mild Hybrid,630i Luxury (A),367888,32300,147155,3176,105459,1210,65141,89254,6.5010,Petrol-Electric,True
12719,7970,BMW,BMW 6 Series Gran Turismo Mild Hybrid,630i M Sport (A),380888,33300,152355,3288,105459,1210,68428,95170,6.5010,Petrol-Electric,True
12720,7624,BMW,BMW 4 Series Coupe,420i M Sport (A),295888,26500,118355,2554,105459,1210,49395,61153,7.5010,Petrol,True
12724,7639,Porsche,Porsche 911 Targa,4 PDK 3.0 (A),617088,-,-,-,105459,2362,-,-,4.4010,Petrol,False
12724,7640,Porsche,Porsche 911 Targa,4S PDK 3.0 (A),691988,-,-,-,105459,2362,-,-,3.8010,Petrol,False
12725,7678,Nissan,Nissan Kicks e-POWER Hybrid,Premium (A),142800,13700,57120,1233,86000,774,24250,10950,,Petrol-Electric,True
12725,8348,Nissan,Nissan Kicks e-POWER Hybrid,Premium Adventure Series (A),145800,-,58320,1259,86000,774,-,-,,Petrol-Electric,True
12725,7679,Nissan,Nissan Kicks e-POWER Hybrid,Premium Plus (A),145800,14000,58320,1259,86000,774,24655,11517,,Petrol-Electric,True
12725,8349,Nissan,Nissan Kicks e-POWER Hybrid,Premium Plus Adventure Series (A),148800,-,59520,1285,86000,774,-,-,,Petrol-Electric,True
12725,9053,Nissan,Nissan Kicks e-POWER Hybrid,Premium (A),149800,-,-,-,86000,772,-,-,,Petrol-Electric,True
12725,9054,Nissan,Nissan Kicks e-POWER Hybrid,Premium Plus (A),154800,-,-,-,86000,772,-,-,,Petrol-Electric,True
12726,7645,Ford,Ford Ranger Diesel,2.0 Double Cab Pick-Up Limited [Euro VI] (A),115888,-,11589,1501,77109,-,37000,1850,10.401,Diesel (Euro VI),False
12728,8323,Hyundai,Hyundai Kona Hybrid,1.6 DCT (A),158999,15100,63600,1373,86000,732,27190,15066,110100,Petrol-Electric,True
12728,8324,Hyundai,Hyundai Kona Hybrid,1.6 DCT Sunroof (A),166999,15700,66800,1442,86000,732,30199,19279,110100,Petrol-Electric,True
12733,7677,Audi,Audi A4 Avant Mild Hybrid,2.0 TFSI S tronic (A),281396,26000,112558,2429,105459,1194,36110,42554,9.2010,Petrol-Electric,True
12739,9055,BYD,BYD T3 Electric,44.9 kWh,140800,-,14080,1823,77109,-,-,-,-,Electric,True
12746,7987,Mercedes-Benz,Mercedes-Benz GLA-Class,GLA180 Progressive (A),232888,21400,93155,2010,86000,586,32315,37241,9.6010,Petrol,True
12746,7736,Mercedes-Benz,Mercedes-Benz GLA-Class,GLA200 Progressive (A),288888,26900,115555,2494,105459,586,34327,40058,8.7010,Petrol,True
12746,7963,Mercedes-Benz,Mercedes-Benz GLA-Class,GLA35 AMG 4MATIC (A),352888,32600,141155,3046,105459,1202,44044,53662,5.2010,Petrol,True
12746,7964,Mercedes-Benz,Mercedes-Benz GLA-Class,GLA45 S AMG 4MATIC+ (A),421888,-,168755,3642,105459,1202,-,-,4.3010,Petrol,True
12748,7745,Audi,Audi S4 Sedan,3.0 TFSI qu Tip (A),418093,-,167237,3609,105459,2380,-,-,4.7010,Petrol,True
12749,7792,Hyundai,Hyundai Avante,1.6 'S' (A),140999,13900,42300,1420,86000,742,19552,4552,10.401,Petrol,True
12749,7793,Hyundai,Hyundai Avante,1.6 Elite Sunroof (A),148999,14500,59600,1286,86000,742,21741,7437,10.401,Petrol,True
12750,8787,Land Rover,Land Rover Defender 110,2.0 SE 5-Seater (A),410999,-,164400,3548,105459,1208,-,-,8.1010,Petrol,True
12758,7780,Isuzu,Isuzu N Series Diesel,NJR88 AUE4A 10FT [Euro VI] (A),POA,-,-,-,77109,-,-,-,,Diesel (Euro VI),True
12758,7817,Isuzu,Isuzu N Series Diesel,NPR75 UH5A 15FT [Euro VI] (A),POA,-,-,-,77109,-,-,-,,Diesel (Euro VI),True
